"ID","事業者コード","事業者名","路線コード","路線名","駅コード","駅名","緯度","経度","向き1","着数1","発数1","向き2","着数2","発数2"
1,101,"JR北海道",1,"函館線",1,"函館",41.77439004,140.72622203,"下り",0,29,"上り",28,0
2,101,"JR北海道",1,"函館線",2,"五稜郭",41.803525,140.73356,"下り",29,29,"上り",28,28
3,101,"JR北海道",1,"函館線",3,"桔梗",41.84635,140.722985,"下り",24,24,"上り",21,21
4,101,"JR北海道",1,"函館線",4,"大中山",41.86478,140.7135,"下り",24,24,"上り",21,21
5,101,"JR北海道",1,"函館線",5,"七飯",41.88701,140.68856,"下り",24,20,"上り",21,21
6,101,"JR北海道",1,"函館線",6,"新函館北斗",41.9048435,140.64881529,"下り",25,8,"上り",13,28
7,101,"JR北海道",1,"函館線",7,"仁山",41.930035,140.6352,"下り",8,8,"上り",13,13
8,101,"JR北海道",1,"函館線",8,"大沼",41.97202,140.66937,"下り",8,7,"上り",7,13
9,101,"JR北海道",1,"函館線",9,"大沼公園",41.98103,140.6698,"下り",7,6,"上り",6,7
10,101,"JR北海道",1,"函館線",10,"赤井川",42.00323,140.642725,"下り",6,6,"上り",6,6
11,101,"JR北海道",1,"函館線",11,"駒ケ岳",42.03879,140.610515,"下り",6,6,"上り",6,6
12,101,"JR北海道",1,"函館線",12,"森",42.108885,140.574025,"下り",6,6,"上り",6,6
13,101,"JR北海道",1,"函館線",13,"石倉",42.17288,140.45847,"下り",6,6,"上り",6,6
14,101,"JR北海道",1,"函館線",14,"落部",42.187581,140.420874,"下り",6,6,"上り",6,6
15,101,"JR北海道",1,"函館線",15,"野田生",42.21703,140.375965,"下り",6,6,"上り",6,6
16,101,"JR北海道",1,"函館線",16,"山越",42.231115,140.326715,"下り",6,6,"上り",6,6
17,101,"JR北海道",1,"函館線",17,"八雲",42.253369,140.273369,"下り",6,6,"上り",6,6
18,101,"JR北海道",1,"函館線",18,"山崎",42.31461,140.274615,"下り",6,6,"上り",6,6
19,101,"JR北海道",1,"函館線",19,"黒岩",42.368355,140.28818,"下り",6,6,"上り",6,6
20,101,"JR北海道",1,"函館線",20,"国縫",42.43871,140.320455,"下り",6,6,"上り",6,6
21,101,"JR北海道",1,"函館線",21,"長万部",42.512508,140.375125,"下り",6,4,"上り",5,6
22,101,"JR北海道",1,"函館線",22,"二股",42.5759,140.32077,"下り",4,4,"上り",5,5
23,101,"JR北海道",1,"函館線",23,"黒松内",42.66959,140.305735,"下り",4,4,"上り",5,5
24,101,"JR北海道",1,"函館線",24,"熱郛",42.6757,140.375135,"下り",4,4,"上り",5,5
25,101,"JR北海道",1,"函館線",25,"目名",42.761405,140.465675,"下り",4,4,"上り",5,5
26,101,"JR北海道",1,"函館線",26,"蘭越",42.804535,140.528955,"下り",4,7,"上り",7,5
27,101,"JR北海道",1,"函館線",27,"昆布",42.797986,140.596269,"下り",7,7,"上り",7,7
28,101,"JR北海道",1,"函館線",28,"ニセコ",42.80874,140.684595,"下り",7,7,"上り",7,7
29,101,"JR北海道",1,"函館線",29,"比羅夫",42.848545,140.72266,"下り",7,7,"上り",7,7
30,101,"JR北海道",1,"函館線",30,"倶知安",42.901685,140.74549,"下り",7,13,"上り",12,7
31,101,"JR北海道",1,"函館線",31,"小沢",42.971978,140.677579,"下り",13,13,"上り",12,12
32,101,"JR北海道",1,"函館線",32,"銀山",43.040947,140.715337,"下り",13,13,"上り",12,12
33,101,"JR北海道",1,"函館線",33,"然別",43.12555,140.737215,"下り",13,16,"上り",15,12
34,101,"JR北海道",1,"函館線",34,"仁木",43.154087,140.770826,"下り",16,16,"上り",15,15
35,101,"JR北海道",1,"函館線",35,"余市",43.18639,140.794685,"下り",16,17,"上り",16,15
36,101,"JR北海道",1,"函館線",36,"蘭島",43.196535,140.854675,"下り",17,17,"上り",16,16
37,101,"JR北海道",1,"函館線",37,"塩谷",43.202435,140.92451,"下り",17,17,"上り",16,16
38,101,"JR北海道",1,"函館線",38,"小樽",43.19712,140.99368,"下り",17,68,"上り",72,16
39,101,"JR北海道",1,"函館線",39,"南小樽",43.18653,141.00789,"下り",68,68,"上り",72,72
40,101,"JR北海道",1,"函館線",40,"小樽築港",43.180852,141.027834,"下り",68,68,"上り",72,72
41,101,"JR北海道",1,"函館線",41,"朝里",43.17686,141.0639,"下り",52,52,"上り",57,57
42,101,"JR北海道",1,"函館線",42,"銭函",43.143415,141.159925,"下り",52,52,"上り",57,57
43,101,"JR北海道",1,"函館線",43,"ほしみ",43.13346,141.1915,"下り",52,73,"上り",77,57
44,101,"JR北海道",1,"函館線",44,"星置",43.132275,141.210645,"下り",73,73,"上り",77,77
45,101,"JR北海道",1,"函館線",45,"稲穂",43.1284,141.22244,"下り",73,73,"上り",77,77
46,101,"JR北海道",1,"函館線",46,"手稲",43.120125,141.24385,"下り",89,114,"上り",119,92
47,101,"JR北海道",1,"函館線",47,"稲積公園",43.11231,141.25676,"下り",92,92,"上り",96,96
48,101,"JR北海道",1,"函館線",48,"発寒",43.100185,141.27663,"下り",92,92,"上り",96,96
49,101,"JR北海道",1,"函館線",49,"発寒中央",43.089265,141.294575,"下り",92,92,"上り",96,96
50,101,"JR北海道",1,"函館線",50,"琴似",43.081506,141.307397,"下り",114,114,"上り",119,119
51,101,"JR北海道",1,"函館線",51,"桑園",43.070748,141.331919,"下り",114,114,"上り",119,119
52,101,"JR北海道",1,"函館線",52,"札幌",43.068569,141.350801,"下り",114,72,"上り",71,119
53,101,"JR北海道",1,"函館線",53,"苗穂",43.06858428,141.37360715,"下り",72,72,"上り",71,71
54,101,"JR北海道",1,"函館線",54,"白石",43.05476,141.41407,"下り",72,72,"上り",71,71
55,101,"JR北海道",1,"函館線",55,"厚別",43.044975,141.463235,"下り",72,72,"上り",71,71
56,101,"JR北海道",1,"函館線",56,"森林公園",43.056445,141.481525,"下り",72,72,"上り",71,71
57,101,"JR北海道",1,"函館線",57,"大麻",43.072226,141.496718,"下り",72,72,"上り",71,71
58,101,"JR北海道",1,"函館線",58,"野幌",43.09262,141.529805,"下り",72,72,"上り",71,71
59,101,"JR北海道",1,"函館線",59,"高砂",43.10016,141.5407,"下り",72,72,"上り",71,71
60,101,"JR北海道",1,"函館線",60,"江別",43.11014,141.556575,"下り",72,40,"上り",37,71
61,101,"JR北海道",1,"函館線",61,"豊幌",43.136485,141.624765,"下り",40,40,"上り",37,37
62,101,"JR北海道",1,"函館線",62,"幌向",43.151592,141.655629,"下り",40,40,"上り",37,37
63,101,"JR北海道",1,"函館線",63,"上幌向",43.18181,141.715265,"下り",40,40,"上り",37,37
64,101,"JR北海道",1,"函館線",64,"岩見沢",43.20411,141.75924,"下り",40,15,"上り",15,37
65,101,"JR北海道",1,"函館線",65,"峰延",43.264675,141.81468,"下り",15,15,"上り",15,15
66,101,"JR北海道",1,"函館線",66,"光珠内",43.29267,141.844685,"下り",15,15,"上り",15,15
67,101,"JR北海道",1,"函館線",67,"美唄",43.330665,141.86213,"下り",15,15,"上り",15,15
68,101,"JR北海道",1,"函館線",68,"茶志内",43.369805,141.873355,"下り",15,15,"上り",15,15
69,101,"JR北海道",1,"函館線",69,"奈井江",43.42401,141.88927,"下り",15,15,"上り",15,15
70,101,"JR北海道",1,"函館線",70,"豊沼",43.46435,141.9011,"下り",15,15,"上り",15,15
71,101,"JR北海道",1,"函館線",71,"砂川",43.49361,141.909715,"下り",15,15,"上り",15,15
72,101,"JR北海道",1,"函館線",72,"滝川",43.555215,141.900785,"下り",15,9,"上り",10,15
73,101,"JR北海道",1,"函館線",73,"江部乙",43.62763,141.93592,"下り",9,9,"上り",10,10
74,101,"JR北海道",1,"函館線",74,"妹背牛",43.690955,141.96665,"下り",9,9,"上り",10,10
75,101,"JR北海道",1,"函館線",75,"深川",43.721251,142.04145,"下り",9,9,"上り",10,10
76,101,"JR北海道",1,"函館線",76,"納内",43.732555,142.13005,"下り",9,9,"上り",10,10
77,101,"JR北海道",1,"函館線",77,"近文",43.789326,142.325344,"下り",9,9,"上り",10,10
78,101,"JR北海道",1,"函館線",78,"旭川",43.76290203,142.35851924,"下り",9,0,"上り",0,10
79,101,"JR北海道",2,"函館線（東回り）",1,"七飯",41.88701,140.68856,"下り",0,3,"上り",0,0
80,101,"JR北海道",2,"函館線（東回り）",2,"大沼",41.97202,140.66937,"下り",3,0,"上り",0,0
81,101,"JR北海道",3,"函館線（砂原線）",1,"大沼",41.97202,140.66937,"下り",0,5,"上り",7,0
82,101,"JR北海道",3,"函館線（砂原線）",2,"鹿部",42.06436,140.7714,"下り",5,5,"上り",7,7
83,101,"JR北海道",3,"函館線（砂原線）",3,"渡島沼尻",42.10708,140.747635,"下り",5,5,"上り",7,7
84,101,"JR北海道",3,"函館線（砂原線）",4,"渡島砂原",42.121702,140.689514,"下り",5,5,"上り",7,7
85,101,"JR北海道",3,"函館線（砂原線）",5,"掛澗",42.11925,140.64611,"下り",5,5,"上り",7,7
86,101,"JR北海道",3,"函館線（砂原線）",6,"尾白内",42.111215,140.613425,"下り",5,5,"上り",7,7
87,101,"JR北海道",3,"函館線（砂原線）",7,"東森",42.106805,140.593545,"下り",5,5,"上り",7,7
88,101,"JR北海道",3,"函館線（砂原線）",8,"森",42.108885,140.574025,"下り",5,0,"上り",0,7
89,101,"JR北海道",4,"札沼線",1,"札幌",43.068569,141.350801,"下り",0,55,"上り",55,0
90,101,"JR北海道",4,"札沼線",2,"桑園",43.070748,141.331919,"下り",55,55,"上り",55,55
91,101,"JR北海道",4,"札沼線",3,"八軒",43.086219,141.319168,"下り",55,55,"上り",55,55
92,101,"JR北海道",4,"札沼線",4,"新川",43.098575,141.323735,"下り",55,55,"上り",55,55
93,101,"JR北海道",4,"札沼線",5,"新琴似",43.113045,141.33514,"下り",55,55,"上り",55,55
94,101,"JR北海道",4,"札沼線",6,"太平",43.123925,141.34926,"下り",55,55,"上り",55,55
95,101,"JR北海道",4,"札沼線",7,"百合が原",43.1314,141.360685,"下り",55,55,"上り",55,55
96,101,"JR北海道",4,"札沼線",8,"篠路",43.14508,141.36424,"下り",55,55,"上り",55,55
97,101,"JR北海道",4,"札沼線",9,"拓北",43.155505,141.381085,"下り",55,55,"上り",55,55
98,101,"JR北海道",4,"札沼線",10,"あいの里教育大",43.155115,141.398765,"下り",55,55,"上り",55,55
99,101,"JR北海道",4,"札沼線",11,"あいの里公園",43.1609,141.41303,"下り",55,41,"上り",43,55
100,101,"JR北海道",4,"札沼線",12,"ロイズタウン",43.17978343,141.43642556,"下り",37,37,"上り",38,38
101,101,"JR北海道",4,"札沼線",13,"太美",43.189855,141.449065,"下り",41,41,"上り",43,43
102,101,"JR北海道",4,"札沼線",14,"当別",43.22214,141.51379,"下り",41,32,"上り",34,43
103,101,"JR北海道",4,"札沼線",15,"北海道医療大学",43.231079,141.550122,"下り",32,0,"上り",0,34
104,101,"JR北海道",5,"千歳線",1,"苫小牧",42.639292,141.595811,"下り",0,22,"上り",21,0
105,101,"JR北海道",5,"千歳線",2,"沼ノ端",42.671955,141.69304,"下り",22,22,"上り",21,21
106,101,"JR北海道",5,"千歳線",3,"植苗",42.713615,141.735285,"下り",22,22,"上り",21,21
107,101,"JR北海道",5,"千歳線",4,"南千歳",42.808205,141.67521,"下り",22,113,"上り",112,21
108,101,"JR北海道",5,"千歳線",5,"千歳",42.828164,141.651982,"下り",104,102,"上り",95,103
109,101,"JR北海道",5,"千歳線",6,"長都",42.85217,141.623,"下り",44,44,"上り",41,41
110,101,"JR北海道",5,"千歳線",7,"サッポロビール庭園",42.86697,141.60543,"下り",37,37,"上り",39,39
111,101,"JR北海道",5,"千歳線",8,"恵庭",42.883105,141.58632,"下り",102,102,"上り",95,95
112,101,"JR北海道",5,"千歳線",9,"恵み野",42.90261,141.57442,"下り",44,44,"上り",41,41
113,101,"JR北海道",5,"千歳線",10,"島松",42.922445,141.57314,"下り",44,44,"上り",41,41
114,101,"JR北海道",5,"千歳線",11,"北広島",42.97919,141.563115,"下り",102,112,"上り",111,95
115,101,"JR北海道",5,"千歳線",12,"上野幌",43.016241,141.487136,"下り",44,44,"上り",47,47
116,101,"JR北海道",5,"千歳線",13,"新札幌",43.038685,141.472515,"下り",121,121,"上り",120,120
117,101,"JR北海道",5,"千歳線",14,"平和",43.046995,141.438,"下り",44,44,"上り",47,47
118,101,"JR北海道",5,"千歳線",15,"白石",43.05476,141.41407,"下り",55,55,"上り",59,59
119,101,"JR北海道",5,"千歳線",16,"苗穂",43.06858428,141.37360715,"下り",44,44,"上り",47,47
120,101,"JR北海道",5,"千歳線",17,"札幌",43.068569,141.350801,"下り",121,0,"上り",0,120
121,101,"JR北海道",6,"千歳線（空港線）",1,"新千歳空港",42.78754,141.68079,"下り",0,88,"上り",86,0
122,101,"JR北海道",6,"千歳線（空港線）",2,"南千歳",42.808205,141.67521,"下り",88,0,"上り",0,86
123,101,"JR北海道",7,"石勝線",1,"南千歳",42.808205,141.67521,"下り",0,6,"上り",6,0
124,101,"JR北海道",7,"石勝線",2,"追分",42.87328,141.8107,"下り",6,2,"上り",3,6
125,101,"JR北海道",7,"石勝線",3,"川端",42.91468,141.89486,"下り",2,2,"上り",3,3
126,101,"JR北海道",7,"石勝線",4,"新夕張",42.936375,142.035975,"下り",2,10,"上り",8,3
127,101,"JR北海道",7,"石勝線",5,"占冠",42.99298,142.40005,"下り",6,6,"上り",6,6
128,101,"JR北海道",7,"石勝線",6,"トマム",43.05604,142.611155,"下り",10,11,"上り",11,8
129,101,"JR北海道",7,"石勝線",7,"新得",43.08183,142.832655,"下り",11,0,"上り",0,11
130,101,"JR北海道",8,"室蘭線",1,"長万部",42.512508,140.375125,"下り",0,4,"上り",5,0
131,101,"JR北海道",8,"室蘭線",2,"静狩",42.584065,140.46003,"下り",4,4,"上り",5,5
132,101,"JR北海道",8,"室蘭線",3,"小幌",42.58969,140.53735,"下り",2,2,"上り",4,4
133,101,"JR北海道",8,"室蘭線",4,"礼文",42.580445,140.59502,"下り",4,4,"上り",5,5
134,101,"JR北海道",8,"室蘭線",5,"大岸",42.585793,140.638422,"下り",4,4,"上り",5,5
135,101,"JR北海道",8,"室蘭線",6,"豊浦",42.580244,140.715458,"下り",4,9,"上り",10,5
136,101,"JR北海道",8,"室蘭線",7,"洞爺",42.550782,140.763754,"下り",9,9,"上り",10,10
137,101,"JR北海道",8,"室蘭線",8,"有珠",42.513235,140.794005,"下り",9,9,"上り",10,10
138,101,"JR北海道",8,"室蘭線",9,"長和",42.488299,140.833664,"下り",9,9,"上り",10,10
139,101,"JR北海道",8,"室蘭線",10,"伊達紋別",42.469412,140.855686,"下り",9,10,"上り",10,10
140,101,"JR北海道",8,"室蘭線",11,"北舟岡",42.45055,140.88032,"下り",10,10,"上り",10,10
141,101,"JR北海道",8,"室蘭線",12,"稀府",42.425615,140.89887,"下り",10,10,"上り",10,10
142,101,"JR北海道",8,"室蘭線",13,"黄金",42.38645,140.90778,"下り",10,10,"上り",10,10
143,101,"JR北海道",8,"室蘭線",14,"崎守",42.373977,140.92722,"下り",10,10,"上り",10,10
144,101,"JR北海道",8,"室蘭線",15,"本輪西",42.358745,140.97756,"下り",10,10,"上り",10,10
145,101,"JR北海道",8,"室蘭線",16,"東室蘭",42.34929,141.02621,"下り",10,18,"上り",19,10
146,101,"JR北海道",8,"室蘭線",17,"鷲別",42.359454,141.042511,"下り",18,18,"上り",19,19
147,101,"JR北海道",8,"室蘭線",18,"幌別",42.409431,141.106983,"下り",18,18,"上り",19,19
148,101,"JR北海道",8,"室蘭線",19,"富浦",42.44187,141.156555,"下り",18,18,"上り",19,19
149,101,"JR北海道",8,"室蘭線",20,"登別",42.452065,141.18088,"下り",18,14,"上り",14,19
150,101,"JR北海道",8,"室蘭線",21,"虎杖浜",42.464895,141.21518,"下り",14,14,"上り",14,14
151,101,"JR北海道",8,"室蘭線",22,"竹浦",42.49294,141.26031,"下り",14,14,"上り",14,14
152,101,"JR北海道",8,"室蘭線",23,"北吉原",42.50885,141.28584,"下り",14,14,"上り",14,14
153,101,"JR北海道",8,"室蘭線",24,"萩野",42.52145,141.306185,"下り",14,14,"上り",14,14
154,101,"JR北海道",8,"室蘭線",25,"白老",42.554675,141.35991,"下り",14,14,"上り",14,14
155,101,"JR北海道",8,"室蘭線",26,"社台",42.579055,141.41778,"下り",14,14,"上り",14,14
156,101,"JR北海道",8,"室蘭線",27,"錦岡",42.60255,141.48723,"下り",14,14,"上り",14,14
157,101,"JR北海道",8,"室蘭線",28,"糸井",42.62259,141.546265,"下り",14,16,"上り",17,14
158,101,"JR北海道",8,"室蘭線",29,"青葉",42.63055,141.56992,"下り",16,16,"上り",17,17
159,101,"JR北海道",8,"室蘭線",30,"苫小牧",42.639292,141.595811,"下り",16,8,"上り",8,17
160,101,"JR北海道",8,"室蘭線",31,"沼ノ端",42.671955,141.69304,"下り",8,8,"上り",8,8
161,101,"JR北海道",8,"室蘭線",32,"遠浅",42.729255,141.76917,"下り",8,8,"上り",8,8
162,101,"JR北海道",8,"室蘭線",33,"早来",42.765275,141.81411,"下り",8,8,"上り",8,8
163,101,"JR北海道",8,"室蘭線",34,"安平",42.814145,141.825245,"下り",8,8,"上り",8,8
164,101,"JR北海道",8,"室蘭線",35,"追分",42.87328,141.8107,"下り",8,7,"上り",7,8
165,101,"JR北海道",8,"室蘭線",36,"三川",42.94505,141.80079,"下り",7,7,"上り",7,7
166,101,"JR北海道",8,"室蘭線",37,"古山",42.97525,141.794015,"下り",7,7,"上り",7,7
167,101,"JR北海道",8,"室蘭線",38,"由仁",43.012245,141.78585,"下り",7,7,"上り",7,7
168,101,"JR北海道",8,"室蘭線",39,"栗山",43.05816,141.7756,"下り",7,7,"上り",7,7
169,101,"JR北海道",8,"室蘭線",40,"栗丘",43.08549,141.744434,"下り",7,7,"上り",7,7
170,101,"JR北海道",8,"室蘭線",41,"栗沢",43.120385,141.739725,"下り",7,7,"上り",7,7
171,101,"JR北海道",8,"室蘭線",42,"志文",43.159035,141.74451,"下り",7,7,"上り",7,7
172,101,"JR北海道",8,"室蘭線",43,"岩見沢",43.20411,141.75924,"下り",7,0,"上り",0,7
173,101,"JR北海道",9,"室蘭線（輪西線）",1,"東室蘭",42.34929,141.02621,"下り",0,23,"上り",23,0
174,101,"JR北海道",9,"室蘭線（輪西線）",2,"輪西",42.33375,141.005748,"下り",23,23,"上り",23,23
175,101,"JR北海道",9,"室蘭線（輪西線）",3,"御崎",42.328948,140.993863,"下り",23,23,"上り",23,23
176,101,"JR北海道",9,"室蘭線（輪西線）",4,"母恋",42.317301,140.98985,"下り",23,23,"上り",23,23
177,101,"JR北海道",9,"室蘭線（輪西線）",5,"室蘭",42.317901,140.975802,"下り",23,0,"上り",0,23
178,101,"JR北海道",10,"日高線",1,"苫小牧",42.639292,141.595811,"下り",0,8,"上り",9,0
179,101,"JR北海道",10,"日高線",2,"勇払",42.632825,141.727655,"下り",8,8,"上り",9,9
180,101,"JR北海道",10,"日高線",3,"浜厚真",42.60677,141.837005,"下り",8,8,"上り",9,9
181,101,"JR北海道",10,"日高線",4,"鵡川",42.578955,141.923955,"下り",8,0,"上り",0,9
182,101,"JR北海道",11,"留萌線",1,"深川",43.721251,142.04145,"下り",0,7,"上り",7,0
183,101,"JR北海道",11,"留萌線",2,"北一已",43.74208,142.014735,"下り",6,6,"上り",7,7
184,101,"JR北海道",11,"留萌線",3,"秩父別",43.76908,141.96772,"下り",6,6,"上り",7,7
185,101,"JR北海道",11,"留萌線",4,"北秩父別",43.78934,141.96099,"下り",2,2,"上り",4,4
186,101,"JR北海道",11,"留萌線",5,"石狩沼田",43.81012,141.93414,"下り",7,0,"上り",0,7
187,101,"JR北海道",12,"富良野線",1,"旭川",43.76263556,142.35837487,"下り",0,19,"上り",19,0
188,101,"JR北海道",12,"富良野線",2,"神楽岡",43.745066,142.358242,"下り",19,19,"上り",19,19
189,101,"JR北海道",12,"富良野線",3,"緑が丘",43.73114,142.36567,"下り",19,19,"上り",19,19
190,101,"JR北海道",12,"富良野線",4,"西御料",43.720845,142.37155,"下り",19,19,"上り",19,19
191,101,"JR北海道",12,"富良野線",5,"西瑞穂",43.702465,142.382115,"下り",19,19,"上り",17,17
192,101,"JR北海道",12,"富良野線",6,"西神楽",43.68224,142.39366,"下り",19,19,"上り",19,19
193,101,"JR北海道",12,"富良野線",7,"西聖和",43.669003,142.415201,"下り",19,19,"上り",17,17
194,101,"JR北海道",12,"富良野線",8,"千代ヶ岡",43.643745,142.451115,"下り",19,19,"上り",19,19
195,101,"JR北海道",12,"富良野線",9,"北美瑛",43.617891,142.479668,"下り",19,19,"上り",17,17
196,101,"JR北海道",12,"富良野線",10,"美瑛",43.591185,142.461695,"下り",19,12,"上り",12,19
197,101,"JR北海道",12,"富良野線",11,"美馬牛",43.537435,142.44714,"下り",12,12,"上り",12,12
198,101,"JR北海道",12,"富良野線",12,"上富良野",43.46412,142.468805,"下り",12,12,"上り",12,12
199,101,"JR北海道",12,"富良野線",13,"西中",43.42947,142.441815,"下り",8,8,"上り",9,9
200,101,"JR北海道",12,"富良野線",14,"中富良野",43.405725,142.420915,"下り",12,12,"上り",12,12
201,101,"JR北海道",12,"富良野線",15,"鹿討",43.387545,142.404945,"下り",8,8,"上り",9,9
202,101,"JR北海道",12,"富良野線",16,"学田",43.36652,142.38648,"下り",8,8,"上り",9,9
203,101,"JR北海道",12,"富良野線",17,"富良野",43.3472,142.39143,"下り",12,0,"上り",0,12
204,101,"JR北海道",13,"根室線",1,"滝川",43.555215,141.900785,"下り",0,9,"上り",9,0
205,101,"JR北海道",13,"根室線",2,"東滝川",43.57393,141.980415,"下り",9,9,"上り",9,9
206,101,"JR北海道",13,"根室線",3,"赤平",43.55488,142.04866,"下り",9,9,"上り",9,9
207,101,"JR北海道",13,"根室線",4,"茂尻",43.537105,142.08213,"下り",9,9,"上り",9,9
208,101,"JR北海道",13,"根室線",5,"平岸",43.541295,142.125275,"下り",9,9,"上り",9,9
209,101,"JR北海道",13,"根室線",6,"芦別",43.516655,142.184245,"下り",9,9,"上り",8,9
210,101,"JR北海道",13,"根室線",7,"上芦別",43.488535,142.211075,"下り",9,9,"上り",8,8
211,101,"JR北海道",13,"根室線",8,"野花南",43.47447,142.26175,"下り",9,9,"上り",8,8
212,101,"JR北海道",13,"根室線",9,"富良野",43.3472,142.39143,"下り",9,9,"上り",8,8
213,101,"JR北海道",13,"根室線",10,"新得",43.08183,142.832655,"下り",9,11,"上り",11,8
214,101,"JR北海道",13,"根室線",11,"十勝清水",43.013015,142.879725,"下り",11,11,"上り",11,11
215,101,"JR北海道",13,"根室線",12,"御影",42.94245,142.935735,"下り",11,11,"上り",11,11
216,101,"JR北海道",13,"根室線",13,"芽室",42.90986,143.04811,"下り",11,15,"上り",15,11
217,101,"JR北海道",13,"根室線",14,"大成",42.91604,143.06972,"下り",15,15,"上り",15,15
218,101,"JR北海道",13,"根室線",15,"西帯広",42.923935,143.126355,"下り",15,15,"上り",15,15
219,101,"JR北海道",13,"根室線",16,"柏林台",42.9289,143.16454,"下り",15,15,"上り",15,15
220,101,"JR北海道",13,"根室線",17,"帯広",42.91807,143.202105,"下り",15,14,"上り",13,15
221,101,"JR北海道",13,"根室線",18,"札内",42.912715,143.256205,"下り",14,14,"上り",13,13
222,101,"JR北海道",13,"根室線",19,"幕別",42.907885,143.35938,"下り",14,14,"上り",13,13
223,101,"JR北海道",13,"根室線",20,"利別",42.934765,143.42434,"下り",14,14,"上り",13,13
224,101,"JR北海道",13,"根室線",21,"池田",42.92207,143.45312,"下り",14,8,"上り",8,13
225,101,"JR北海道",13,"根室線",22,"十弗",42.8558,143.50084,"下り",8,8,"上り",8,8
226,101,"JR北海道",13,"根室線",23,"豊頃",42.81748,143.53875,"下り",8,8,"上り",8,8
227,101,"JR北海道",13,"根室線",24,"新吉野",42.778245,143.608295,"下り",8,8,"上り",8,8
228,101,"JR北海道",13,"根室線",25,"浦幌",42.81043,143.651485,"下り",8,6,"上り",7,8
229,101,"JR北海道",13,"根室線",26,"厚内",42.80952,143.814445,"下り",6,6,"上り",6,7
230,101,"JR北海道",13,"根室線",27,"音別",42.889015,143.93247,"下り",6,9,"上り",8,6
231,101,"JR北海道",13,"根室線",28,"白糠",42.95617,144.0769,"下り",9,10,"上り",9,8
232,101,"JR北海道",13,"根室線",29,"西庶路",42.976125,144.129815,"下り",10,10,"上り",9,9
233,101,"JR北海道",13,"根室線",30,"庶路",42.98359,144.15001,"下り",10,10,"上り",9,9
234,101,"JR北海道",13,"根室線",31,"大楽毛",43.0091,144.273895,"下り",10,12,"上り",11,9
235,101,"JR北海道",13,"根室線",32,"新大楽毛",43.00938,144.294765,"下り",12,12,"上り",11,11
236,101,"JR北海道",13,"根室線",33,"新富士",43.0016,144.350805,"下り",12,12,"上り",11,11
237,101,"JR北海道",13,"根室線",34,"釧路",42.99057,144.382035,"下り",12,8,"上り",8,11
238,101,"JR北海道",13,"根室線",35,"東釧路",42.9951,144.411375,"下り",8,8,"上り",7,7
239,101,"JR北海道",13,"根室線",36,"武佐",42.99177,144.42566,"下り",7,7,"上り",7,7
240,101,"JR北海道",13,"根室線",37,"別保",42.99429,144.469665,"下り",7,7,"上り",7,7
241,101,"JR北海道",13,"根室線",38,"上尾幌",43.03294,144.612445,"下り",7,7,"上り",7,7
242,101,"JR北海道",13,"根室線",39,"尾幌",43.018495,144.70385,"下り",6,6,"上り",7,7
243,101,"JR北海道",13,"根室線",40,"門静",43.057565,144.782725,"下り",6,6,"上り",7,7
244,101,"JR北海道",13,"根室線",41,"厚岸",43.056269,144.84124,"下り",8,6,"上り",6,8
245,101,"JR北海道",13,"根室線",42,"茶内",43.129195,145.02807,"下り",6,6,"上り",6,6
246,101,"JR北海道",13,"根室線",43,"浜中",43.157665,145.099735,"下り",6,6,"上り",6,6
247,101,"JR北海道",13,"根室線",44,"姉別",43.19634,145.1945,"下り",5,5,"上り",5,5
248,101,"JR北海道",13,"根室線",45,"厚床",43.22822,145.25236,"下り",6,6,"上り",6,6
249,101,"JR北海道",13,"根室線",46,"別当賀",43.21842,145.42362,"下り",3,3,"上り",6,6
250,101,"JR北海道",13,"根室線",47,"落石",43.198325,145.51946,"下り",6,6,"上り",6,6
251,101,"JR北海道",13,"根室線",48,"昆布盛",43.22857,145.54248,"下り",5,5,"上り",5,5
252,101,"JR北海道",13,"根室線",49,"西和田",43.268045,145.54189,"下り",4,4,"上り",6,6
253,101,"JR北海道",13,"根室線",50,"東根室",43.323555,145.59723,"下り",5,5,"上り",6,6
254,101,"JR北海道",13,"根室線",51,"根室",43.326795,145.58304,"下り",6,0,"上り",0,6
255,101,"JR北海道",14,"宗谷線",1,"旭川",43.76290203,142.35851924,"下り",0,19,"上り",18,0
256,101,"JR北海道",14,"宗谷線",2,"旭川四条",43.764045,142.375841,"下り",16,16,"上り",15,15
257,101,"JR北海道",14,"宗谷線",3,"新旭川",43.780215,142.384755,"下り",15,15,"上り",14,14
258,101,"JR北海道",14,"宗谷線",4,"永山",43.814195,142.434395,"下り",19,15,"上り",15,18
259,101,"JR北海道",14,"宗谷線",5,"北永山",43.826771,142.454517,"下り",9,9,"上り",9,9
260,101,"JR北海道",14,"宗谷線",6,"比布",43.874515,142.47134,"下り",15,11,"上り",12,15
261,101,"JR北海道",14,"宗谷線",7,"蘭留",43.925015,142.473465,"下り",8,8,"上り",9,9
262,101,"JR北海道",14,"宗谷線",8,"塩狩",43.968065,142.454915,"下り",8,8,"上り",10,10
263,101,"JR北海道",14,"宗谷線",9,"和寒",44.027365,142.415285,"下り",11,11,"上り",12,12
264,101,"JR北海道",14,"宗谷線",10,"剣淵",44.09645,142.36461,"下り",11,11,"上り",12,12
